LEGAL_ENTITY_NAME,PREMISES_NAME,DHB,STREET_ADDRESS_OTHER,STREET_ADDRESS,STREET_ADDRESS_SUBURB_RD,STREET_ADDRESS_TOWN_CITY,STREET_ADDRESS_POST_CODE
Huapai Pharmacy (2017) Limited,Unichem Huapai Pharmacy,Waitemata DHB,,321-323 Main Road,Huapai,Kumeu,0810
Hunt's Pharmacy 2010 Limited,Hunts Pharmacy,Counties Manukau DHB,"Shop 3B, Countdown Shopping Centre",359 Massey Road,Mangere East,Auckland,2024
Hunters Plaza Pharmacy Limited,Unichem Hunters Plaza Pharmacy,Counties Manukau DHB,"Shop 11, Hunters Plaza",217 Great South Road,Papatoetoe,AUCKLAND,2025
Huntly Pharmacy Limited,Huntly Pharmacy Limited,Waikato DHB,,123 Main Street,,Huntly,3700
Huntly West Pharmacy Limited,Huntly West Pharmacy,Waikato DHB,,4 Bridge Street,,Huntly West,3700
Hurst & Taylor Limited,Hurst & Taylor Unichem Pharmacy,Nelson Marlborough DHB,,512 Main Road Stoke,Stoke,NELSON,7041
Hurstmere Pharmacy (2008) Limited,Unichem Wynyard Pharmacy,Auckland DHB,"Ground Floor, Rental Unit 4b, Datacom Building",58 Gaunt Street,Auckland Central,Auckland,1010
Hutt City Pharmacy Limited,Hutt City Pharmacy,Hutt Valley DHB,,5 Raroa Road,Hutt Central,Lower Hutt,5010
Hutt South Pharmacies (Maungaraki) Limited,Maungaraki Pharmacy,Hutt Valley DHB,,169 Dowse Drive,Maungaraki,Lower Hutt,5010
Hutt South Pharmacies Limited,Waterloo Pharmacy,Hutt Valley DHB,,"Shop 1, 1 Trafalgar Square",Waterloo,Lower Hutt,5011
Hutt Valley Associated Chemists Limited,Lower Hutt Urgent Pharmacy,Hutt Valley DHB,,729 High Street,Boulcott,LOWER HUTT,5010
Hutt Valley District Health Board,Hutt Hospital Pharmacy,Hutt Valley DHB,"Pharmacy Department, Hutt Hospital",High Street,Boulcott,LOWER HUTT,5010
Hutt Valley Pharmacies 2014 Limited,Unichem High Street Pharmacy,Hutt Valley DHB,,"Unit 7, 71 High Street",Hutt Central,Lower Hutt,5010
Hutt Valley Pharmacies 2014 Limited,Unichem Upper Hutt Pharmacy,Hutt Valley DHB,,723 Ferguson Drive,Elderslea,UPPER HUTT,5018
Ihakara Pharmacy Limited,Ihakara Pharmacy,Capital and Coast DHB,,40 Ihakara Street,,PARAPARAUMU,5032
Ilam Pharmacy Limited,Ilam Pharmacy,Canterbury DHB,,209B Waimairi Road,Ilam,Christchurch,8041
Im Good Limited,Lynnmall Pharmacy,Waitemata DHB,"Shop E204, Lynnmall Shopping Centre",3058 Great North Road,New Lynn,Auckland,0600
Invercargill United Friendly Societies Dispensary,Unichem UFS Pharmacy,Southern DHB,,76 Tay Street,,Invercargill,9810
Island View Limited,Unichem Health Te Aroha Pharmacy,Waikato DHB,,28 Church Street,,Te Aroha,3320
Island View Limited,Unichem Paeroa Medical Centre Pharmacy,Waikato DHB,,15 Princes Street,,PAEROA,3600
Island View Limited,Unichem Paeroa Pharmacy,Waikato DHB,,122 Normanby Road,,PAEROA,3600
Island View Limited,Unichem Te Aroha Pharmacy,Waikato DHB,,189-191 Whitaker Street,,Te Aroha,3320
J & J Pharmacy Limited,Vercoe Road Pharmacy,Waikato DHB,,35 Vercoe Road,Beerescourt,HAMILTON,3200
J Barron Limited,Barron's Pharmacy,Waikato DHB,,66 Seddon Street,,Waihi,3610
J C Chemist Limited,Craig's Chemist,Capital and Coast DHB,,67 Miramar Avenue,Miramar,Wellington,6022
J V Pharmacy Limited,Eden Epsom Pharmacy,Auckland DHB,,485 Manukau Road,Epsom,Auckland,1023
J-Mall Pharmacy Limited,Life Pharmacy Johnsonville,Capital and Coast DHB,"Shop 40, Johnsonville Shopping Centre",16 Broderick Road,Johnsonville,Wellington,6037
J.A. & S.A. Allan Pharmacy Limited,Katikati Health Centre Pharmacy,Bay of Plenty DHB,,4 Clive Road,,Katikati,3129
J.A. & S.A. Allan Pharmacy Limited,Unichem Katikati Pharmacy,Bay of Plenty DHB,,26 Main Road,,KATIKATI,3129
J.A. Alexander Limited,Alexander Pharmacy,Capital and Coast DHB,Magix House,191B Willis Street,Te Aro,Wellington,6011
J.K. Pharmacy Limited,Levin Mall Pharmacy,MidCentral DHB,"Shop 1, Levin Mall Shopping Centre",191 Oxford Street,,Levin,5510
JAGCAL Limited,Lakes Pharmacy,Bay of Plenty DHB,,8/1 Caslani Lane,Pyes Pa,Tauranga,3112
JAGCAL Limited,Pyes Pa Pharmacy,Bay of Plenty DHB,,"Shop 7, 83 Pyes Pa Road",Pyes Pa,TAURANGA,3112
JBG Pharmacy Limited,Avalon Pharmacy,Waikato DHB,,6 Avalon Drive,Nawton,HAMILTON,3200
JJGSY Limited,McNaughton's Pharmacy,Southern DHB,,351A King Edward Street,South Dunedin,Dunedin,9012
JSJ Pharmacy Limited,Unichem Te Kuiti Pharmacy,Waikato DHB,Shops 1 & 2,105 Rora Street,,TE KUITI,3910
Jaks Pharmacy Limited,Jaks Pharmacy,Counties Manukau DHB,The Warehouse,35 Cavendish Drive,Manukau,AUCKLAND,2104
Jalen BB Limited,Pharmacy @ Bell Block,Taranaki DHB,,188 Parklands Avenue,Bell Block,NEW PLYMOUTH,4312
Jeffrey Lucas Chemist Limited,Unichem Westown Pharmacy,Taranaki DHB,,55 Tukapa Street,Westown,NEW PLYMOUTH,4310
John Adams Pharmacy Limited,Hall Avenue Pharmacy,Auckland DHB,Shop 2,23 Hall Avenue,Otahuhu,Auckland,1062
John Hogg Pharmacy 2015 Limited,John Hogg Pharmacy 2015 Limited,Counties Manukau DHB,"Shop 19A, Mangere Town Centre",93 Bader Drive,Mangere,Auckland,2022
John Poswillo Pharmacy Limited,John Poswillo Pharmacy,Nelson Marlborough DHB,,30-32 Scott Street,,BLENHEIM,7201
John Poswillo Pharmacy Limited,Omaka Landing Pharmacy,Nelson Marlborough DHB,,4 Richardson Avenue,Burleigh,Blenheim,7272
John's Photo Pharmacy Limited,John's Photo Pharmacy,Bay of Plenty DHB,,292 Cameron Road,,TAURANGA,3110
John's at Palm Beach Plaza Pharmacy Limited,My Pharmacy - Papamoa Plaza,Bay of Plenty DHB,"Shop 9, Papamoa Plaza",7 Gravatt Road,Papamoa Beach,Papamoa,3118
Johnny & Jasmine Ly Limited,Sommerville Pharmacy,Counties Manukau DHB,Unit E2,119 Meadowland Drive,Howick,Auckland,2014
Johnsonville Chemists Limited,Unichem Johnsonville,Capital and Coast DHB,,31 Johnsonville Road,Johnsonville,Wellington,6037
Johnsonville Medical Centre Pharmacy Limited,Johnsonville Medical Centre Pharmacy,Capital and Coast DHB,,"Ground Floor, 2 Trafalgar Street",Johnsonville,Wellington,6037
Julies Pharmacy Limited,Julies Pharmacy Limited,Auckland DHB,Ground Floor,1224-1226 Dominion Road,Mt Roskill,AUCKLAND,1041
Juliet Ave Pharmacy Limited,Juliet Ave Pharmacy,Counties Manukau DHB,,5/59 Juliet Avenue,Howick,Auckland,2014
K & CB Govind Limited,Cannons Creek Pharmacy,Capital and Coast DHB,,14 Warspite Avenue,Cannons Creek,PORIRUA,5024
K J Dean Limited,Campus Pharmacy Waikato,Waikato DHB,University of Waikato,"Gate 1, Knighton Road",Hillcrest,Hamilton,3216
Kaeo Chemist Limited,Kaeo Chemist Limited,Northland DHB,,26 Leigh Street,,KAEO,0478
Kaiapoi Crossing Pharmacy Limited,Kaiapoi Crossing Pharmacy,Canterbury DHB,Unit 7,77 Hilton Street,,Kaiapoi,7630
Kaiapoi Pharmacy Limited,Kaiapoi North Pharmacy,Canterbury DHB,,40 Charles Street,,Kaiapoi,7630
Kaikoura Pharmacy (1998) Limited,Kaikoura Pharmacy (1998) Limited,Canterbury DHB,,26 West End,,Kaikoura,7300
Kaitaia Pharmacy 2017 Limited,Shackleton's Pharmacy Unichem,Northland DHB,,91 Commerce Street,,Kaitaia,0410
Kaiti Mall Pharmacy (2015) Limited,Kaiti Mall Pharmacy (2015) Limited,Tairawhiti DHB,Kaiti Mall,498 Wainui Road,Kaiti,Gisborne,4010
Kamo Pharmacies Limited,Unichem Kamo Dispensary,Northland DHB,,6C Three Mile Bush Road,Kamo,Whangarei,0112
Kamo Pharmacies Limited,Unichem Kamo Pharmacy,Northland DHB,,521A Kamo Road,Kamo,WHANGAREI,0112
Karaka Pharmacy Limited,Unichem Karaka Pharmacy,Counties Manukau DHB,Shop 7a,71 Hingaia Road,Karaka,Papakura,2580
Karen Rich Pharmacy Limited,Crofton Downs Pharmacy,Capital and Coast DHB,Churchill Drive Shopping Centre,124 Churchill Drive,Crofton Downs,Wellington,6035
Karori Mall Pharmacy Limited,Unichem Karori Mall Pharmacy,Capital and Coast DHB,Karori Mall,"Shop 6, 250 Karori Road",Karori,WELLINGTON,6012
Karori Mall Pharmacy Limited,Unichem Marsden Village Pharmacy,Capital and Coast DHB,,159 Karori Road,Karori,WELLINGTON,6012
Karuna78 Limited,Unichem University Pharmacy,Capital and Coast DHB,,21 Kelburn Parade,Kelburn,Wellington,6012
Kathy The Chemist Limited,Unichem Hillpark Pharmacy,Counties Manukau DHB,"Shop 4, Hillpark Commercial Centre",77 Grande Vue Road,Manurewa,AUCKLAND,2102
Kawakawa Pharmacy Limited,Kawakawa Pharmacy Limited,Northland DHB,,21-23 Gillies Street,Kawakawa,NORTHLAND,0243
Kelburn Pharmacy (2002) Limited,Kelburn Pharmacy,Capital and Coast DHB,,1 Upland Road,Kelburn,Wellington,6012
Kelston Medical Pharmacy 2018 Limited,Unichem Kelston Medical Pharmacy,Waitemata DHB,,8A Archibald Road,Kelston,Auckland,0602
Kelston Pharmacy Limited,Kelston Pharmacy Limited,Waitemata DHB,"Shop 17, Kelston Shopping Centre",corner of Great North Road & West Coast Road,Kelston,Auckland,0602
Kelvin's Pharmacy Limited,Hataitai Pharmacy,Capital and Coast DHB,,4 Moxham Avenue,Hataitai,Wellington,6021
Kendal Pharmacy (2015) Limited,Kendal Pharmacy,Canterbury DHB,,64 Kendal Avenue,Burnside,CHRISTCHURCH,8053
Kenepuru Pharmacy Limited,Kenepuru Pharmacy,Capital and Coast DHB,Kenepuru Community Hospital,16 Hospital Drive,Kenepuru,PORIRUA,5022
Kennedy Pharmacy Limited,David Moore Pharmacy,Tairawhiti DHB,,75 Customhouse Street,,Gisborne,4010
Kensington Pharmacy Limited,Kensington Pharmacy,Northland DHB,Shop 1,4 Kensington Avenue,Kensington,Whangarei,0112
Khandallah Pharmacy (1971) Limited,Village Pharmacy Khandallah,Capital and Coast DHB,,23 Ganges Road,Khandallah,WELLINGTON,6035
Kilbirnie Pharmacy Limited,Unichem Kilbirnie Pharmacy,Capital and Coast DHB,,37 Bay Road,Kilbirnie,WELLINGTON,6022
King Pharmacy Group Limited,Linwood Dispensary,Canterbury DHB,"Level 1, Eastgate Shopping Mall",20 Buckleys Road,Linwood,Christchurch,8062
King Pharmacy Group Limited,Unichem Bush Inn Pharmacy,Canterbury DHB,"Shop 8, Bush Inn Shopping Centre",364 Riccarton Road,Upper Riccarton,CHRISTCHURCH,8041
King Pharmacy Group Limited,Unichem Eastgate Pharmacy,Canterbury DHB,"Shops 309-310, Eastgate Shopping Centre",6 Buckleys Road,Linwood,CHRISTCHURCH,8062
Kingsland Limited,Kingsland Pharmacy,Auckland DHB,,491 New North Road,Kingsland,AUCKLAND,1021
Kirkbride Pharmacy Limited,Airport Oaks Pharmacy,Counties Manukau DHB,,149C Kirkbride Road,Mangere,Auckland,2022
Knox Pharmacy 2010 Limited,Unichem Knox Pharmacy,Southern DHB,,402 George Street,North Dunedin,Dunedin,9016
Kohi Point Pharmacies Limited,Life Pharmacy Whakatane,Bay of Plenty DHB,,183 The Strand,,Whakatane,3120
Kokoru Pharmacy Group Limited,Greendale Pharmacy,Hawkes Bay DHB,,135 Gloucester Street,Taradale,Napier,4112
Kokoru Pharmacy Group Limited,Maraenui Pharmacy,Hawkes Bay DHB,,3 Longfellow Avenue,Maraenui,Napier,4110
Kokoru Pharmacy Group Limited,Napier Pharmacy,Hawkes Bay DHB,,70 Wellesley Road,Napier South,Napier,4110
Kolmar Community Pharmacy Limited,Unichem Kolmar Pharmacy,Counties Manukau DHB,,1/133 Kolmar Road,Papatoetoe,AUCKLAND,2025
Kope Pharmacy (2002) Limited,Kope Pharmacy (2002) Limited,Bay of Plenty DHB,,78 King Street,,WHAKATANE,3120
Kwok Health Care Limited,Unichem Aviemore Pharmacy,Counties Manukau DHB,,"Shop 1A, 5 Aviemore Drive",Highland Park,Auckland,2010
LFH Pharmacy Limited,Graeme Angus Pharmacy,Counties Manukau DHB,,91 St George Street,Papatoetoe,Auckland,2025
LHS International Limited,The Auckland City Pharmacy,Auckland DHB,,419 Queen Street,Auckland Central,Auckland,1010
LHS International Limited,The Puhinui Pharmacy,Counties Manukau DHB,,"Unit B, 258 Puhinui Road",Papatoetoe,Auckland,2025
La Hood's The Chemist 2018 Limited,La Hood's The Chemist,Southern DHB,,43 Main Street,,Gore,9710
Lagans Pharmacy 2013 Limited,Lagan's Pharmacy,Hutt Valley DHB,,10 Main Street,,UPPER HUTT,5018
Lake Dunstan Pharmacy Limited,Lake Dunstan Pharmacy,Southern DHB,,2A The Mall,,Cromwell,9310
Lake Taupo Pharmacy (2008) Limited,Life Pharmacy Taupo,Lakes DHB,,35-37 Heuheu Street,,TAUPO,3330
Lakes District Health Board,Rotorua Hospital Pharmacy,Lakes DHB,,Corner of Arawa and Ranolf Streets,Pukeroa Hill,ROTORUA,3046
Lakes District Health Board,Taupo Hospital Pharmacy,Lakes DHB,,Kotare Street,Hilltop,TAUPO,3351
Lambs Pharmacy & Natural Therapies Centre (1994) Limited,Lambs Pharmacy & Natural Therapies Centre,Auckland DHB,,173 Karangahape Road,Newton,AUCKLAND,1010
Lambton Square Limited,Lambton Square Pharmacy,Capital and Coast DHB,Shop 104,Lambton Square Mall,180 Lambton Quay,WELLINGTON,6011
Lamiv Limited,Barry Roberts Pharmacy,Waikato DHB,,72 Main Street,,Huntly,3700
Langford Pharmacy Whangamata Limited,Unichem Whangamata Pharmacy,Waikato DHB,,503A Port Road,,Whangamata,3620
Larson's Pharmacy Limited,Larson's Pharmacy Limited,Southern DHB,,216 Main South Road,Green Island,Dunedin,9018
Leabank Pharmacy (1998) Limited,Unichem Leabank Pharmacy,Counties Manukau DHB,,102-104 Weymouth Road,Manurewa,Auckland,2102
Leamington Pharmacy (1981) Limited,Unichem Leamington Pharmacy,Waikato DHB,,127 Shakespeare Street,Leamington,Cambridge,3432
Lee & Hart Pharmacy Limited,Hart's Pharmacy,Waitemata DHB,,27-35 Queen Street,,WARKWORTH,0910
Leeston Pharmacy 2008 Limited,Leeston Pharmacy,Canterbury DHB,,76 High Street,,LEESTON,7632
Lemmon Tree Healthcare Limited,Eden Care Pharmacy,Auckland DHB,,811 Mount Eden Road,Mount Eden,Auckland,1024
Len Hooper Pharmacy Limited,Len Hooper Pharmacy Limited,Hutt Valley DHB,,104 Oxford Terrace,Epuni,LOWER HUTT,5011
Life Pharmacy Albany Limited,Life Pharmacy Albany,Waitemata DHB,"Shop 211, Westfield Albany",219 Don McKinnon Drive,Albany,AUCKLAND,0632
Life Pharmacy Centre Place (2009) Limited,Life Pharmacy Centre Place,Waikato DHB,"Shop 23, Centre Place Shopping Centre",501 Victoria Street,Hamilton Central,HAMILTON,3204
Life Pharmacy Northwest Limited,Life Pharmacy Northwest,Waitemata DHB,,"Shop 7, 1 - 7 Fred Taylor Drive",Westgate,AUCKLAND,0814
Life Pharmacy Queenstown Limited,Life Pharmacy Wilkinsons,Southern DHB,,The Corner Rees Street & The Mall,,Queenstown,9348
Life Pharmacy Remuera Limited,Life Pharmacy Remuera,Auckland DHB,,320 Remuera Road,Remuera,Auckland,1050
Life Pharmacy Sylvia Park Limited,Life Pharmacy Sylvia Park,Auckland DHB,,"Sylvia Park, 286 Mt Wellington Highway",Mt Wellington,AUCKLAND,1060
Life Pharmacy Tauranga Crossing Limited,Life Pharmacy The Crossing,Bay of Plenty DHB,"Shop RS152, Tauranga Crossing Shopping Centre",2 Taurikura Drive,Tauriko,Tauranga,3110
Life Pharmacy Wall Street Dunedin Limited,Life Pharmacy Dunedin,Southern DHB,"Shop G1B, Wall Street Retail Complex",211 George Street,,DUNEDIN,9016
Lincoln Mall Pharmacy Limited,Lincoln Mall Pharmacy Limited,Waitemata DHB,,Unit 1A3/192  Universal Drive,Henderson,Auckland,0610
Lincoln Pharmacy (2012) Limited,Lincoln Pharmacy,Canterbury DHB,,8 Gerald Street,,LINCOLN,7608
Lincoln Road Pharmacy 2018 Limited,Unichem Lincoln Road Pharmacy,Canterbury DHB,"Unit D, Annex Building",30 Lincoln Road,Hillmorton,Christchurch,8024
Linda Jones Pharmacy Limited,Meadowbank Corner Chemist,Auckland DHB,,10 St Johns Road,Meadowbank,Auckland,1072
Link Pharmacy Limited,Link Pharmacy,Waitemata DHB,Unit 4,140-146 Sunnynook Road,Sunnynook,Auckland,0620
Linwood Pharmacy Group Limited,Community Pharmacy Linwood,Canterbury DHB,Shop 1,201 Linwood Avenue,Linwood,CHRISTCHURCH,8011
Little Sprout Pharmacy Limited,Little Sprout Pharmacy,Auckland DHB,,2D Esplanade Road,Mt Eden,AUCKLAND,1024
Lockington's Pharmacy Limited,Lockington's Medical Centre Pharmacy,Auckland DHB,Tenancy 2,223 Stoddard Road,Mt Roskill,Auckland,1041
Lockington's Pharmacy Limited,Lockington's Pharmacy Limited,Auckland DHB,,198-202 Stoddard Road,Mount Roskill,Auckland,1041
Longhurst Pharmacy Limited,Longhurst Pharmacy,Canterbury DHB,,53 Caulfield Avenue,Halswell,CHRISTCHURCH,8025
Lower Hutt Pharmacy Limited,Ian Schofer Unichem,Hutt Valley DHB,,3 Margaret Street,Hutt Central,LOWER HUTT,5010
Lunn Ave Community Pharmacy Limited,Unichem Lunn Ave Pharmacy,Auckland DHB,,2/110 Lunn Avenue,Remuera,AUCKLAND,1072
Lycium Limited,Wisdom Pharmacy,Auckland DHB,,717 Richardson Road,Hillsborough,Auckland,1042
M & P Bollard Limited,Bollards Pharmacy,MidCentral DHB,,123 Main Street,,PAHIATUA,4910
MH Pharmacy Limited,New Windsor Pharmacy,Auckland DHB,,1/271 - 1/275 New Windsor Road,New Windsor,Auckland,0600
MHP Limited,Manukau Medical Pharmacy,Counties Manukau DHB,,18 Manukau Station Road,Manukau,AUCKLAND,2104
MS Healthcare Limited,Torbay Pharmacy,Waitemata DHB,,1040 Beach Road,Torbay,AUCKLAND,0630
MSN Health Limited,Southmall Pharmacy,Counties Manukau DHB,Unit F2,185 Great South Road,Manurewa,AUCKLAND,2102
Ma Belle Helene Limited,Mazengarb Pharmacy,Capital and Coast DHB,,240 Mazengarb Road,,PARAPARAUMU,6450
Mackays Pharmacy (2007) Limited,Mackays Unichem Pharmacy,Taranaki DHB,,289 Broadway,,Stratford,4332
Mackenzie Pharmacy (2014) Limited,Mackenzie Pharmacy,South Canterbury DHB,,6-7 Market Place,,Twizel,7901
Mahora Pharmacy Limited,Mahora Pharmacy Limited,Hawkes Bay DHB,,907 Tomoana Road,Mahora,HASTINGS,4120
Main Street Pharmacy Limited,Great Lake Pharmacy,Lakes DHB,,109 Tongariro Street,,TAUPO,3330
Main Street Pharmacy Limited,Taupo Health Centre Pharmacy,Lakes DHB,,113 Heuheu Street,,Taupo,3330
Main Street Pharmacy Limited,Unichem Mainstreet Pharmacy,Lakes DHB,,51 Tongariro Street,,TAUPO,3330
Mainstreet Pharmacy Howick Limited,Mainstreet Pharmacy Howick,Counties Manukau DHB,,45 - 47 Picton Street,Howick,AUCKLAND,2014
Mairangi Bay Pharmacy Limited,Unichem Mairangi Bay Pharmacy,Waitemata DHB,,433 Beach Road,Mairangi Bay,AUCKLAND,0630
Mairangi Bay Pharmacy Limited,Unichem Mairangi Medical Pharmacy,Waitemata DHB,,408 Beach Road,Mairangi Bay,Auckland,0630
Manawatu Pharmacies Limited,Life Pharmacy The Plaza,MidCentral DHB,"Shop 108, The Plaza Shopping Centre",84 The Square,,Palmerston North,4410
Manawatu Pharmacies Limited,Life Pharmacy Whangaparaoa,Waitemata DHB,"Shop 10, The Plaza",719 Whangaparaoa Road,Stanmore Bay,Whangaparaoa,0930
Manawatu Pharmacies Limited,Unichem Awapuni Pharmacy,MidCentral DHB,,96 College Street,Awapuni,PALMERSTON NORTH,4412
Manawatu Pharmacies Limited,Unichem Terrace End Pharmacy,MidCentral DHB,,325 Broadway Avenue,,Palmerston North,4414
Mangawhai Pharmacy 2017 Limited,Mangawhai Pharmacy,Northland DHB,,12C Wood Street,Mangawhai Heads,Mangawhai,0505
Mangere Bridge Community Pharmacy Limited,Mangere Bridge Village Pharmacy,Counties Manukau DHB,,41 Coronation Road,Mangere Bridge,Auckland,2022
Mangere Bridge Pharmacy Limited,Mangere Bridge Pharmacy Limited,Counties Manukau DHB,,25 Coronation Road,Mangere Bridge,Auckland,2022
Mangere Community Pharmacy Limited,Unichem Mangere Pharmacy,Counties Manukau DHB,,12 Waddon Place,Mangere,AUCKLAND,2022
Mangere East Community Pharmacy Limited,Unichem Mangere East Pharmacy,Counties Manukau DHB,,7a/359 Massey Road,Mangere East,Auckland,2024
Maniototo Pharmacy Limited,Maniototo Pharmacy,Southern DHB,,25 Charlemont Street,,Ranfurly,9332
Manly Pharmacy Limited,Unichem Manly Medical Pharmacy,Waitemata DHB,,5/54 Rawhiti Road,Manly,Whangaparaoa,0930
Manly Pharmacy Limited,Unichem Manly Pharmacy,Waitemata DHB,,53B Rawhiti Road,Manly,Whangaparoa,0930
Manners Pharmacy (2016) Limited,Life Pharmacy Manners Street,Capital and Coast DHB,Ground Floor,50 Manners Street,Wellington Central,Wellington,6142
Manukau Pharmacy (2011) Limited,Life Pharmacy Manukau,Counties Manukau DHB,Shop 38 Westfield Shopping Centre,Corner Great South Road & Wiri Station Road,Manukau,AUCKLAND,2241
Manurewa Medical Centre Pharmacy Limited,Manurewa Medical Centre Pharmacy,Counties Manukau DHB,"Manurewa Medical Centre, Ground Floor",157 Great South Road,Manurewa,AUCKLAND,2102
Mapua Pharmacy Limited,Mapua Pharmacy Limited,Nelson Marlborough DHB,,66/68 Aranui Road,Mapua,NELSON,7005
Marchwiel Pharmacy (2005) Limited,Marchwiel Pharmacy,South Canterbury DHB,,255 Selwyn Street,Marchwiel,TIMARU,7910
Margaret Neill Pharmacy Limited,Unichem Neill's Pharmacy,Auckland DHB,Shop 2,Mt Wellington Shopping Centre,Mt Wellington,Auckland,1130
Marina Chemist Limited,Unichem Marina Pharmacy,Counties Manukau DHB,"Tenancy 5, Compass Building",1 Ara Tai,Half Moon Bay,Auckland,2012
Marlborough United Friendly Society Dispensary,Marlborough UFS Dispensary,Nelson Marlborough DHB,,2-6 Queen Street,,Blenheim,7201
Marshall's Pharmacy Taradale Limited,Gees Pharmacy,Hawkes Bay DHB,,279 Gloucester Street,Taradale,NAPIER,4112
Marshlands Family Pharmacy Limited,Marshlands Family Pharmacy,Canterbury DHB,,427 Marshland Road,Marshland,Christchurch,8051
Martinborough Pharmacy Limited,Unichem Martinborough Pharmacy,Wairarapa DHB,,5 Oxford Street,,Martinborough,5711
Marton Pharmacy Limited,Marton Pharmacy Limited,Whanganui DHB,,292 Broadway,,Marton,4710
Massey Pharmacy (2002) Limited,Massey Unichem Pharmacy,Waitemata DHB,,"Unit D, 396 Don Buck Road",Massey,Auckland,0614
Masterton Medical Pharmacy Limited,Masterton Medical Pharmacy Limited,Wairarapa DHB,,4A Colombo Road,Lansdowne,Masterton,5810
Matakana Pharmacy Limited,Matakana Pharmacy,Waitemata DHB,Shop 16,2 Matakana Valley Road,Matakana,Rodney District,0985
Matlo Limited,Hammersley Pharmacy,Canterbury DHB,,202 Hills Road,Edgeware,CHRISTCHURCH,8013
Maunganui Road Pharmacy Limited,Maunganui Road Pharmacy Limited,Bay of Plenty DHB,Unit 32,436 - 438 Maunganui Road,,Mount Maunganui,3116
Maungatapu Pharmacy Limited,Maungatapu Pharmacy,Bay of Plenty DHB,"Unit F, Maungatapu Shopping Centre",287 - 291 Maungatapu Road,Maungatapu,TAURANGA,3148
Maunu Pharmacy Limited,Maunu Pharmacy Ltd,Northland DHB,,115A Maunu Road,Woodhill,WHANGAREI,0110
Mavourneen Limited,KTown Pharmacy,Bay of Plenty DHB,,26 Islington Street,,Kawerau,3127
Maxcare Pharmacy Limited,Maxcare Pharmacy,Auckland DHB,,4/225 Great South Road,Otahuhu,Auckland,1062
McGlashen Pharmacy Limited,McGlashen Pharmacy,Nelson Marlborough DHB,,227 Queen Street,Richmond,NELSON,7020
McInnes Health Limited,Collingwood Street Pharmacy,Nelson Marlborough DHB,,132 Collingwood Street,,Nelson,7010
McKenzie Holdings Limited,Clive Pharmacy,Hawkes Bay DHB,,185 Main Road,,CLIVE,4102
McLaren Park Pharmacy 2007 Limited,McLaren Park Pharmacy,Waitemata DHB,,7/80 Bruce McLaren Road,Henderson,AUCKLAND,0612
McLeans Pharmacy 2016 Limited,McLeans Pharmacy,Tairawhiti DHB,,675 Childers Road,Elgin,Gisborne,4010
McSweeney Pharmacy Group Limited,Life Pharmacy Matamata,Waikato DHB,,54 Arawa Street,,MATAMATA,3400
McSweeney Pharmacy Group Limited,Unichem Matamata Pharmacy,Waikato DHB,,56 Rawhiti Avenue,,Matamata,3400
Meadowbank Pharmacy (2007) Limited,Life Pharmacy Meadowbank,Auckland DHB,"Shop 2, Meadowbank Shopping Centre",35 St Johns Road,Saint Johns,AUCKLAND,1072
Meadowlands Pharmacy Limited,Unichem Meadowlands Pharmacy,Counties Manukau DHB,"Shop 8, Meadowlands Shopping Plaza",112 Whitford Road,Somerville,Auckland,2014
Medi Centre Pharmacy (2007) Limited,Unichem Medi-Centre Pharmacy,Waitemata DHB,,131 Lincoln Road,Henderson,AUCKLAND,0610
MedicoPharm Limited,Unichem Mission Bay Pharmacy,Auckland DHB,,3 Patteson Avenue,Mission Bay,AUCKLAND,1071
Medpharm Group Limited,Panmure Pharmacy,Auckland DHB,,200 Queens Road,Panmure,Auckland,1072
Medpharm Group Limited,Tamaki Pharmacy,Auckland DHB,,6 Clifton Court,Panmure,Auckland,1072
Medpharm Group Limited,Unichem Panmure Pharmacy,Auckland DHB,,74-76 Queens Road,Panmure,Auckland,1072
Medplus Pharmacy Limited,Medplus Pharmacy,Waitemata DHB,,327 Lake Road,Hauraki,Auckland,0622
Merivale Pharmacy Limited,Alabasters Merivale Pharmacy,Canterbury DHB,,200 Papanui Road,Merivale,CHRISTCHURCH,8014
Methven Pharmacy Limited,Methven Pharmacy,Canterbury DHB,Shop 830,101 Main Street,,METHVEN,7730
MidCentral District Health Board,Palmerston North Hospital Pharmacy,MidCentral DHB,,50 Ruahine Street,Roslyn,Palmerston North,4414
MidCentral Pharmacy Services Limited,Steeds Pharmacy,MidCentral DHB,,244 Oxford Street,,Levin,5510
Miles Pharmacy Limited,Miles Pharmacy Limited,Canterbury DHB,,394A and 396 Ferry Road,,CHRISTCHURCH,8023
Milford Pharmacy Limited,Unichem Corner Pharmacy Milford,Waitemata DHB,,138 Kitchener Road,Milford,AUCKLAND,0620
Millhouse Pharmacy Limited,Millhouse Pharmacy Limited,Counties Manukau DHB,"Unit 1, Millhouse Court",128 Millhouse Drive,Howick,AUCKLAND,2013
Mills Pharmacy (2007) Limited,Unichem Mills Pharmacy,Southern DHB,,38 Kelvin Street,,INVERCARGILL,9810
Millwater Parkway Pharmacy Limited,Millwater Parkway Pharmacy,Waitemata DHB,Unit 19,175 Millwater Parkway,,Silverdale,0932
Millwater Parkway Pharmacy Limited,Otahuhu 7 Day Chemist,Auckland DHB,,15 - 23 Station Road,Otahuhu,Auckland,1062
